,Make,Model,Year,Price,Cylinders,Transmission,Fuel Type,Rank,Other,Fuel Type=2.0,Other=0.0,Price_bin=40k+,Transmission=1.0,Year_bin=<1990,Fuel Type=2.0 & Other=0.0,Fuel Type=2.0 & Transmission=1.0,Fuel Type=2.0 & Year_bin=<1990,Other=0.0 & Price_bin=40k+,Other=0.0 & Transmission=1.0,Other=0.0 & Year_bin=<1990,Transmission=1.0 & Year_bin=<1990,Fuel Type=2.0 & Other=0.0 & Transmission=1.0,Fuel Type=2.0 & Other=0.0 & Year_bin=<1990,Fuel Type=2.0 & Transmission=1.0 & Year_bin=<1990,Other=0.0 & Transmission=1.0 & Year_bin=<1990,Fuel Type=2.0 & Other=0.0 & Transmission=1.0 & Year_bin=<1990
98,0.1659975496574382,2.624518424673973,2.9358182413814444,28401,8,1.0,2.0,4.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
99,2.213300662099177,2.872682057952601,2.590427860042451,717340,6,1.0,2.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,1.8259730462318209,2.0755503874212518,1.899647097364464,23376,8,1.0,2.0,4.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
101,0.1659975496574382,0.376005504967618,2.0723422880339606,69722,4,1.0,2.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,1.217315364154547,0.4361663857624368,2.9358182413814444,47497,4,1.0,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,0.6086576820772737,0.6843300190410647,3.281208622720438,112539,4,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,0.3319950993148765,3.504371306298199,0.3453903813389934,128256,6,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,0.387327615867356,1.0528154139093302,1.0361711440169803,94590,6,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,1.3833129138119855,2.699719525667497,2.0723422880339606,65084,6,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,0.387327615867356,1.2934589370886058,0.8634759533474836,569875,8,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,2.600628277966533,2.504196663084336,0.1726951906694967,68580,8,1.0,2.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,1.7706405296793415,2.729799966064906,2.590427860042451,460904,8,1.0,2.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,0.3319950993148765,0.2180831928812184,3.108513432050941,66361,4,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,2.8219583441764504,0.6241691382462458,2.763123050711948,225017,4,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,1.9919705958892595,1.549142680466586,2.2450374787034573,271423,6,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,0.387327615867356,1.2934589370886058,0.5180855720084901,473426,8,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,0.4979926489723148,0.7144104594384741,1.381561525355974,83164,6,1.0,2.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,1.8259730462318209,2.090590607619956,0.8634759533474836,785350,8,1.0,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,1.7706405296793415,1.1355366250022063,1.2088663346864772,93184,4,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,2.8219583441764504,0.7896115604319976,1.899647097364464,103167,8,1.0,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,0.4979926489723148,3.038124480138353,2.9358182413814444,125793,8,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,1.3833129138119855,2.684679305468792,0.3453903813389934,18535,8,1.0,2.0,1.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
120,1.8259730462318209,2.083070497520604,0.1726951906694967,95978,8,1.0,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,1.549310463469424,1.676984552155576,2.9358182413814444,59471,6,1.0,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,3.3199509931487654,2.248512919706356,1.7269519066949672,261989,6,1.0,0.0,5.0,0.0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0
123,2.213300662099177,0.6467294685443029,1.5542567160254706,109480,4,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,0.387327615867356,1.2934589370886058,1.0361711440169803,448228,8,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,1.549310463469424,1.676984552155576,0.1726951906694967,183459,6,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,1.327980397259506,3.338928884112448,1.5542567160254706,55190,4,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,0.8853202648396707,1.4589013592743576,0.3453903813389934,29030,4,1.0,2.0,5.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
128,2.600628277966533,2.504196663084336,0.8634759533474836,132986,8,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,0.3319950993148765,3.504371306298199,0.6907807626779869,78427,8,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130,0.8853202648396707,1.2182578360950822,0.8634759533474836,39454,6,1.0,2.0,5.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
